country,factor,theme,real_beta,real_beta_t,bei_beta,bei_beta_t,mkt_beta,pre_mean,pre_vol,post_mean,n_pre,n_post,post_mean_2022,post_mean_2023,post_mean_2024
isr,pi_nix,profitability,0.020132763959669144,1.0522276017353358,0.05951900882375505,2.9319132409665087,0.24674299757714482,-0.0002922558190794617,0.03645728590285132,0.0025153631221185246,227,48,0.005590632965749125,-0.007168603797704368,0.006059528744749967
isr,ppeinv_gr1a,investment,0.003171668025744644,0.24784912121657704,-0.030795522764431513,-1.8441998405577127,0.06764523091971984,-0.0006140901700426388,0.041713341254604894,-0.000269515236630886,227,48,0.01213684556042705,0.006561801121571059,-0.0028305636935571006
isr,prc,trading frictions,0.0051241294026737145,0.567755506309876,0.023413628377596248,2.484285159742386,0.07682974038700645,0.0023523437680892942,0.028256874558740458,0.003025477381955939,227,48,0.0061093551771518005,-0.004509343123111249,0.009670372254242374
isr,prc_highprc_252d,momentum,-0.00324757255020906,-0.23400796005189556,-0.12536764735696046,-4.091733668056482,-0.4373599238433093,0.008801303781106091,0.05127771869116967,0.006465728033849973,227,48,0.0020552179256985255,-0.0036091914224556424,0.015934985231831393
isr,qmj,new,-0.014023728991852611,-0.7737181262602796,-0.10450500752412185,-3.958058110382696,-0.40724148129091964,0.005982789240834263,0.0458967309527045,0.0010480587461316117,227,48,-0.00418975333134445,0.0013821686653231417,-0.0020864401902702828
isr,qmj_growth,new,-0.010789327854546019,-1.27932991849587,-0.019247197916233413,-1.8292543191445034,-0.02351159462333068,0.0052519653246430355,0.03268691118771175,-0.000784724508674282,227,48,-0.008001548658625617,-0.0020335251572417994,0.009376027286320409
isr,qmj_prof,new,0.0003906097789646338,0.029952403122922373,-0.06370599871294796,-3.4644543203475067,-0.2850419023681863,0.003052049359336687,0.03747510588025827,-0.006425067625233523,227,48,-0.010396162038086956,-0.0020286756759666335,-0.016637460407579022
isr,qmj_safety,new,-0.0036459986729248176,-0.1903486782109226,-0.11115644851370483,-4.8383371796569055,-0.418908619373356,0.002739270185078476,0.04268233319892537,0.002296642511262384,227,48,1.0600700016033353e-05,-0.00047461036044668263,-0.005571251380767292
isr,rd5_at,intangibles,-0.05077952679938305,-1.3443787986517195,-0.189936992040253,-4.114488167566165,-0.6851588880856726,0.00469664836040768,0.08714175204874595,0.0015482327351419012,121,48,-0.02877052089011398,0.03890776572235285,-0.00313409924362879
isr,rd_me,intangibles,0.006523443727218086,0.26775746770254005,-0.0496469121876202,-1.3108306279534532,-0.1537465327320108,-0.004727361960839994,0.07287703708188238,0.008099349914275208,176,48,0.010921322753837242,0.035018663972390576,0.022956522513220123
